fid,tipo,cd_geocodd,nm_municip,cd_geocodb,area_ha,area_km2,densid_pop,nm_subdist,nm_meso,nm_micro,cd_geocodi,cd_geocods,id,SHAPE__Length,nm_bairro,SHAPE__Area,nm_distrit,cd_geocodm
28,URBANO,292740805,SALVADOR, ,2.3029979,2.30300132,185.41022808,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060028,29274080506,51336,665.324590205572, ,23029.98320137,SALVADOR,2927408
29,URBANO,292740805,SALVADOR, ,2.0549599,2.05496296,235.04073322,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060029,29274080506,51337,903.815466667073, ,20549.592983825,SALVADOR,2927408
30,URBANO,292740805,SALVADOR, ,2.06090725,2.06091031,512.3949322,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060030,29274080506,51338,628.732504471928, ,20609.071492015,SALVADOR,2927408
31,URBANO,292740805,SALVADOR, ,1.00027991,1.00028139,446.87425374,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060031,29274080506,51339,522.062559184782, ,10002.79936542,SALVADOR,2927408
32,URBANO,292740805,SALVADOR, ,0.99580516,0.99580664,425.78547164,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060032,29274080506,51340,657.368718301868, ,9958.052882295,SALVADOR,2927408
33,URBANO,292740805,SALVADOR, ,1.40791238,1.40791447,598.04769106,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060033,29274080506,51341,733.516174919956, ,14079.12395122,SALVADOR,2927408
34,URBANO,292740805,SALVADOR, ,1.69042773,1.69043024,490.99926315,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060034,29274080506,51342,528.488565140615, ,16904.27913703,SALVADOR,2927408
35,URBANO,292740805,SALVADOR, ,1.44006979,1.44007192,520.80732039,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060035,29274080506,51343,546.746431531656, ,14400.694917315,SALVADOR,2927408
36,URBANO,292740805,SALVADOR, ,1.26444375,1.26444562,593.14531764,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060036,29274080506,51344,785.855151742056, ,12644.44227028,SALVADOR,2927408
37,URBANO,292740805,SALVADOR, ,0.87496719,0.87496849,778.31374208,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060037,29274080506,51345,731.720370055909, ,8749.659273095,SALVADOR,2927408
38,URBANO,292740805,SALVADOR, ,1.02969916,1.02970069,561.32816831,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060038,29274080506,51346,646.08074333371, ,10296.993990195,SALVADOR,2927408
39,URBANO,292740805,SALVADOR, ,1.37372171,1.37372375,344.31959092,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060039,29274080506,51347,709.498913707731, ,13737.214813215,SALVADOR,2927408
40,URBANO,292740805,SALVADOR, ,1.03354534,1.03354688,438.29652072,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060040,29274080506,51348,571.701742417018, ,10335.452225985,SALVADOR,2927408
41,URBANO,292740805,SALVADOR, ,2.13299257,2.13299573,503.04835814,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060041,29274080506,51349,880.960772535424, ,21329.92557287,SALVADOR,2927408
42,URBANO,292740805,SALVADOR, ,2.56056432,2.56056812,406.15986479,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060042,29274080506,51350,1015.78733833177, ,25605.647661935,SALVADOR,2927408
43,URBANO,292740805,SALVADOR, ,19.81699212,19.81702151,29.7723853,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060043,29274080506,51351,2339.42441232325, ,198169.91568636,SALVADOR,2927408
